Round,White,Black,Random Chess Bot,NaptimeGR,Site
1,Random Chess Bot,NaptimeGR,0,0,My Computer
1,NaptimeGR,Random Chess Bot,1,0,My Computer
2,Random Chess Bot,NaptimeGR,0,0,My Computer
2,NaptimeGR,Random Chess Bot,0,0,My Computer
3,Random Chess Bot,NaptimeGR,0,0,My Computer
3,NaptimeGR,Random Chess Bot,0,0,My Computer
4,Random Chess Bot,NaptimeGR,0,0,My Computer
4,NaptimeGR,Random Chess Bot,0,0,My Computer
5,Random Chess Bot,NaptimeGR,0,0,My Computer
5,NaptimeGR,Random Chess Bot,1,0,My Computer
6,Random Chess Bot,NaptimeGR,0,0,My Computer
6,NaptimeGR,Random Chess Bot,0,0,My Computer
7,Random Chess Bot,NaptimeGR,0,0,My Computer
7,NaptimeGR,Random Chess Bot,0,0,My Computer
8,Random Chess Bot,NaptimeGR,0,1,My Computer
8,NaptimeGR,Random Chess Bot,0,0,My Computer
9,Random Chess Bot,NaptimeGR,0,0,My Computer
9,NaptimeGR,Random Chess Bot,0,0,My Computer
10,Random Chess Bot,NaptimeGR,0,0,My Computer
10,NaptimeGR,Random Chess Bot,0,0,My Computer
11,Random Chess Bot,NaptimeGR,0,0,My Computer
11,NaptimeGR,Random Chess Bot,0,1,My Computer
12,Random Chess Bot,NaptimeGR,0,0,My Computer
12,NaptimeGR,Random Chess Bot,0,0,My Computer
13,Random Chess Bot,NaptimeGR,0,0,My Computer
13,NaptimeGR,Random Chess Bot,0,0,My Computer
14,Random Chess Bot,NaptimeGR,0,0,My Computer
14,NaptimeGR,Random Chess Bot,0,0,My Computer
15,Random Chess Bot,NaptimeGR,0,1,My Computer
15,NaptimeGR,Random Chess Bot,0,1,My Computer
16,Random Chess Bot,NaptimeGR,0,0,My Computer
16,NaptimeGR,Random Chess Bot,0,0,My Computer
17,Random Chess Bot,NaptimeGR,0,0,My Computer
17,NaptimeGR,Random Chess Bot,0,0,My Computer
18,Random Chess Bot,NaptimeGR,0,0,My Computer
18,NaptimeGR,Random Chess Bot,0,0,My Computer
19,Random Chess Bot,NaptimeGR,0,0,My Computer
19,NaptimeGR,Random Chess Bot,0,1,My Computer
20,Random Chess Bot,NaptimeGR,0,0,My Computer
20,NaptimeGR,Random Chess Bot,0,1,My Computer
