Round,White,Black,Random Chess Bot,NaptimeForest,Site
1,Random Chess Bot,NaptimeForest,0,0,My Computer
1,NaptimeForest,Random Chess Bot,0,0,My Computer
2,Random Chess Bot,NaptimeForest,0,0,My Computer
2,NaptimeForest,Random Chess Bot,0,0,My Computer
3,Random Chess Bot,NaptimeForest,0,0,My Computer
3,NaptimeForest,Random Chess Bot,0,0,My Computer
4,Random Chess Bot,NaptimeForest,0,0,My Computer
4,NaptimeForest,Random Chess Bot,0,0,My Computer
5,Random Chess Bot,NaptimeForest,0,0,My Computer
5,NaptimeForest,Random Chess Bot,0,0,My Computer
6,Random Chess Bot,NaptimeForest,0,0,My Computer
6,NaptimeForest,Random Chess Bot,1,0,My Computer
7,Random Chess Bot,NaptimeForest,0,0,My Computer
7,NaptimeForest,Random Chess Bot,0,1,My Computer
8,Random Chess Bot,NaptimeForest,0,0,My Computer
8,NaptimeForest,Random Chess Bot,0,0,My Computer
9,Random Chess Bot,NaptimeForest,1,0,My Computer
9,NaptimeForest,Random Chess Bot,0,0,My Computer
10,Random Chess Bot,NaptimeForest,0,0,My Computer
10,NaptimeForest,Random Chess Bot,0,0,My Computer
11,Random Chess Bot,NaptimeForest,0,0,My Computer
11,NaptimeForest,Random Chess Bot,0,0,My Computer
12,Random Chess Bot,NaptimeForest,0,0,My Computer
12,NaptimeForest,Random Chess Bot,1,0,My Computer
13,Random Chess Bot,NaptimeForest,0,0,My Computer
13,NaptimeForest,Random Chess Bot,0,0,My Computer
14,Random Chess Bot,NaptimeForest,0,0,My Computer
14,NaptimeForest,Random Chess Bot,0,0,My Computer
15,Random Chess Bot,NaptimeForest,0,0,My Computer
15,NaptimeForest,Random Chess Bot,0,0,My Computer
16,Random Chess Bot,NaptimeForest,0,0,My Computer
16,NaptimeForest,Random Chess Bot,1,0,My Computer
17,Random Chess Bot,NaptimeForest,0,1,My Computer
17,NaptimeForest,Random Chess Bot,0,0,My Computer
18,Random Chess Bot,NaptimeForest,0,0,My Computer
18,NaptimeForest,Random Chess Bot,0,1,My Computer
19,Random Chess Bot,NaptimeForest,0,1,My Computer
19,NaptimeForest,Random Chess Bot,0,0,My Computer
20,Random Chess Bot,NaptimeForest,1,0,My Computer
20,NaptimeForest,Random Chess Bot,0,0,My Computer
